Point,"hb_ocp1dbm_value","hb_peakPAE_value","hb_gainAt-20dbm_value","hb_PinAtOcp1dbm_value","hb_PAEAtOcp1dbm","hb_comp_curve","hb_outputPowerW_curve","hb_outputPowerDBM_curve","hb_PAE_curve"
274,11.8128670313489,24.0644733752272,19.2812704415249,-6.46700274275579,8.3431445220962,wave,wave,wave,wave
275,11.7480872028273,24.7074649626762,18.006522877588,-5.26944607322688,9.92850777464037,wave,wave,wave,wave
276,11.9582498367671,24.9740531007966,18.5436127610726,-5.58513705986553,10.2292797211923,wave,wave,wave,wave
277,11.5648419706582,21.9114810685421,18.9214081974739,-6.36474276176603,7.43587763723451,wave,wave,wave,wave
278,12.2013156110899,25.9816803405654,19.0042498310333,-5.80260064559411,10.5590321958461,wave,wave,wave,wave
279,11.7487449240032,23.9925872712642,18.0561701900602,-5.30748336613588,9.48762955056025,wave,wave,wave,wave
280,11.7851572225374,23.3499566392493,18.6840536682897,-5.90136015950061,8.80925559519892,wave,wave,wave,wave
281,11.883789428782,24.4166190235587,18.3430701281323,-5.45597864326199,9.7337251767308,wave,wave,wave,wave
282,11.669397259793,23.8796472735069,17.8994864046678,-5.23541030211063,9.1488053725292,wave,wave,wave,wave
283,12.1286318347875,25.2231687529927,18.8489693456268,-5.72159165597444,9.88841206540845,wave,wave,wave,wave
284,11.4057912682362,22.7765726720703,17.9193898483578,-5.52314553791942,8.62094063783687,wave,wave,wave,wave
285,11.8102730440557,24.2551751777731,18.5043924028498,-5.70231988976398,8.98821554721639,wave,wave,wave,wave
286,11.6509350575115,23.1770080025667,18.8766752630642,-6.22153544071207,8.40831376692123,wave,wave,wave,wave
287,11.9884615630669,25.1558514045699,18.4953700223581,-5.51077535408194,10.1903444002745,wave,wave,wave,wave
288,11.7818405042209,24.0248374604152,18.4845398932574,-5.70910895053685,9.10063540665022,wave,wave,wave,wave
289,11.9636115039861,25.0582554015444,18.3154370897074,-5.35588824211078,10.7886486840971,wave,wave,wave,wave
290,11.5330410087406,22.9476429960029,17.9828198070317,-5.45604178187463,8.69247062427803,wave,wave,wave,wave
291,11.9758655984049,24.7692904489553,18.9152305087791,-5.94828721422544,9.28426351060428,wave,wave,wave,wave
292,11.643481815037,24.1656486618689,18.2062534951172,-5.56796723645877,9.28094878732694,wave,wave,wave,wave
293,12.175466109971,25.5013816837362,19.0104573875831,-5.8320298427716,10.170631785042,wave,wave,wave,wave
294,11.6139280529062,23.9623109056431,17.6841527031473,-5.08255998450394,9.36476096307899,wave,wave,wave,wave
295,11.9375559288147,24.2738155248087,18.7683628531576,-5.82586975459398,9.2332028546433,wave,wave,wave,wave
296,11.4520883082139,22.9611469285497,17.673967741559,-5.23952266802765,8.6133917677913,wave,wave,wave,wave
297,11.9521393924442,24.7266993934045,18.7016197015045,-5.74865262880532,9.82464148094763,wave,wave,wave,wave
298,11.9393641209053,24.9159133231954,18.1414460719045,-5.2028094975092,10.753456273241,wave,wave,wave,wave
299,11.6405957547268,23.318025243232,19.065326598463,-6.43275498356061,8.25685065098437,wave,wave,wave,wave
300,12.3069127624644,24.8694305997957,17.8117653365324,-4.49844002928375,11.6695247013415,wave,wave,wave,wave
301,11.667725513626,23.6792428464267,18.3474372280453,-5.67814176759487,9.10254828336133,wave,wave,wave,wave
